"package","target_kind","file","line","col","boundary_class","source_site_head","disposition","causal_identity_bearing","sensitive_or_unstable","activation_cohort","note"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\errors.rs","314","18","stable_protocol_mapping",".map_err(|_| invalid_params('range.start.line exceeds u32::MAX'))?;","exact_exception","class-only-static-message","protocol_stability","P1","JsonRpcError INVALID_PARAMS carries static semantic cause; TryFromIntError payload-free"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\errors.rs","320","18","stable_protocol_mapping",".map_err(|_| invalid_params('range.start.character exceeds u32::MAX'))?;","exact_exception","class-only-static-message","protocol_stability","P1","JsonRpcError INVALID_PARAMS carries static semantic cause; TryFromIntError payload-free"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\errors.rs","326","18","stable_protocol_mapping",".map_err(|_| invalid_params('range.end.line exceeds u32::MAX'))?;","exact_exception","class-only-static-message","protocol_stability","P1","JsonRpcError INVALID_PARAMS carries static semantic cause; TryFromIntError payload-free"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\errors.rs","332","18","stable_protocol_mapping",".map_err(|_| invalid_params('range.end.character exceeds u32::MAX'))?;","exact_exception","class-only-static-message","protocol_stability","P1","JsonRpcError INVALID_PARAMS carries static semantic cause; TryFromIntError payload-free"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","678","52","redact_deliberately","canonical_json_bytes(&subject).map_err(|_| ResolveEnvelopeIssueError::Serialization)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","685","22","redact_deliberately",".map_err(|_| ResolveEnvelopeIssueError::Serialization)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","692","22","redact_deliberately",".map_err(|_| ResolveEnvelopeIssueError::AuthenticatorFailure)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","699","51","redact_deliberately","canonical_json_bytes(&signed).map_err(|_| ResolveEnvelopeIssueError::Serialization)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","733","54","redact_deliberately","serde_json::from_slice(&decoded).map_err(|_| ResolveEnvelopeRejection::Malformed)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","739","48","redact_deliberately","serde_json::to_vec(&value).map_err(|_| ResolveEnvelopeRejection::Malformed)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","745","51","redact_deliberately","serde_json::from_value(value).map_err(|_| ResolveEnvelopeRejection::Malformed)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","756","22","redact_deliberately",".map_err(|_| ResolveEnvelopeRejection::Malformed)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","764","53","redact_deliberately","canonical_json_bytes(&unsigned).map_err(|_| ResolveEnvelopeRejection::Malformed)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope.rs","767","22","redact_deliberately",".map_err(|_| ResolveEnvelopeRejection::InstrumentFailure)?;","exact_exception","deliberately-unexposed","sensitive_trust_boundary","P1","authenticated envelope: serde/authenticator internals must not leak into rejections"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\resolve_envelope\session_auth.rs","53","22","classification_only",".map_err(|_| ResolveAuthenticatorFailure::Internal)","exact_exception","none-race-loss","no","P1","fetch_update failure returns current value, no diagnostic payload"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\providers\formatting\legacy.rs","147","50","retain_class_not_details","String::from_utf8(output.stdout).map_err(|_| FormattingError::InvalidOutputEncoding)","exact_exception","encoding-kind-only","subprocess_output","P1","perltidy stdout non-UTF8; byte offsets withheld from public FormattingError"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\providers\semantic_port_adapters.rs","408","26","independent_error_model_defect",".map_err(|_| ProviderAdapterError::MalformedEnvelope(envelope.fact_id))?;","file_leaf","reason-dropped","no","LEAF","MalformedEnvelope(fact_id) loses validator invariant reason; needs reason carrier"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\runtime\launcher\mod.rs","1331","52","classification_only","parse_feature_profile_arg(raw_profile).map_err(|_| LaunchParseError::InvalidFeatureProfile","exact_exception","raw-input-retained","no","P1","raw_profile echoed into LaunchParseError"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\tooling\perl_critic\semantic.rs","390","26","classification_only",".map_err(|_| unresolved())","exact_exception","unresolved-marker-by-design","no","P1","honest unresolved() NOT_PROVEN marker for unclassified critic shapes"
"perl-lsp-rs","lib_or_bin_production","crates\perl-lsp-rs\src\runtime\diagnostics.rs","1362","37","stable_protocol_mapping","uri_str.parse().map_err(|_| invalid_params('Invalid URI in textDocument.uri'))?;","exact_exception","none","protocol_stability","P1","LSP invalid_params message stable; ParseError internal"
"perl-lsp-rs","lib_or_bin_production","crates\perl-lsp-rs\src\runtime\language\document_links.rs","229","63","stable_protocol_mapping","url::Url::parse(base_uri).map_err(|_| JsonRpcError {","exact_exception","identity-retained-in-data","protocol_stability","P1","baseUri echoed in data where present; url::ParseError dropped by design"
"perl-lsp-rs","lib_or_bin_production","crates\perl-lsp-rs\src\runtime\language\document_links.rs","269","63","stable_protocol_mapping","let uri_parsed = url::Url::parse(uri).map_err(|_| JsonRpcError {","exact_exception","identity-retained-in-data","protocol_stability","P1","baseUri echoed in data where present; url::ParseError dropped by design"
"perl-lsp-rs","lib_or_bin_production","crates\perl-lsp-rs\src\runtime\language\formatting_policy\mod.rs","131","22","stable_protocol_mapping",".map_err(|_| invalid_params('Invalid formatting options')),","exact_exception","static-semantic-cause","protocol_stability","P1","u32 overflow cause embedded statically; serde detail withheld"
"perl-lsp-rs","lib_or_bin_production","crates\perl-lsp-rs\src\runtime\language\formatting_policy\mod.rs","145","36","stable_protocol_mapping","u32::try_from(raw).map_err(|_| invalid_params(&format!('{label}.{name} exceeds u32::MAX'))","exact_exception","static-semantic-cause","protocol_stability","P1","u32 overflow cause embedded statically; serde detail withheld"
"perl-lsp-rs","lib_or_bin_production","crates\perl-lsp-rs\src\runtime\language\misc.rs","199","26","stable_protocol_mapping",".map_err(|_| invalid_params('Invalid selectedCompletionInfo.range'))","exact_exception","none","protocol_stability","P1","invalid_params stable message; serde field detail withheld"
"perl-lsp-rs","lib_or_bin_production","crates\perl-lsp-rs\src\runtime\scheduler.rs","531","24","classification_only","result.map_err(|_| {","exact_exception","shutdown-race-only","no","P1","send failure == worker shutdown; bookkeeping closure then Err(())"
"perl-lsp-rs","lib_or_bin_production","crates\perl-lsp-rs\src\runtime\scheduler.rs","563","24","classification_only","result.map_err(|_| ())","exact_exception","shutdown-race-only","no","P1","send failure == worker shutdown"
"perl-lsp-ux-tests","lib_or_bin_production","crates\perl-lsp-ux-tests\src\workspace.rs","26","22","classification_only",".map_err(|_| anyhow::anyhow!('Failed to produce file:// URI for workspace root'))?","exact_exception","tempdir-context-implicit","no","TS","test-support crate lib target; fresh temp dir recoverable"
"perl-lsp-ux-tests","lib_or_bin_production","crates\perl-lsp-ux-tests\src\workspace.rs","79","22","classification_only",".map_err(|_| anyhow::anyhow!('Failed to produce file:// URI for directory {:?}', path))","exact_exception","path-retained","no","TS","path echoed into anyhow message"
"perl-position-tracking","lib_or_bin_production","crates\perl-position-tracking\src\source_lines.rs","456","30","classification_only",".map_err(|_| SourceLineError::ArithmeticOverflow)?,","exact_exception","impossible-documented","no","P1","in-source comment: impossible rejection maps onto overflow variant rather than panicking"
"perl-position-tracking","lib_or_bin_production","crates\perl-position-tracking\src\source_lines.rs","475","30","classification_only",".map_err(|_| SourceLineError::ArithmeticOverflow)?,","exact_exception","impossible-documented","no","P1","same documented impossible rejection"
"perl-semantic-analyzer","lib_or_bin_production","crates\perl-semantic-analyzer\src\analysis\index.rs","126","22","classification_only",".map_err(|_| 'workspace import index lock poisoned'.to_string())?;","exact_exception","poison-class-only","no","P1","PoisonError guard retention unsound; class is whole story"
"perl-tree-sitter-compat","lib_or_bin_production","crates\perl-tree-sitter-compat\src\convert.rs","32","32","independent_error_model_defect","parser.parse().map_err(|_| TreeError::ParseFailed)?","file_leaf","location-dropped","no","LEAF","TreeError::ParseFailed lacks parser error position; compat surface gap"
"perl-uri","lib_or_bin_production","crates\perl-uri\src\fs.rs","126","18","classification_only",".map_err(|_| format!('Failed to convert path to URI: {}', abs_path.display()))","exact_exception","identity-retained","no","P1","abs_path echoed into message; source error payload-free"
"perl-workspace","lib_or_bin_production","crates\perl-workspace\src\discovery\mod.rs","254","18","classification_only",".map_err(|_| std::io::Error::other('git ls-files reader thread panicked'))??;","exact_exception","fact-of-panic-only","internal-thread","P1","JoinError payload not Send-recoverable here; class recorded in message"
"perl-workspace","lib_or_bin_production","crates\perl-workspace\src\workspace\runtime_generation\core.rs","1087","18","classification_only",".map_err(|_| exhausted)","exact_exception","none-race-loss","no","P1","sequence exhaustion typed as WorkspaceRuntimeError"
"perl-workspace","lib_or_bin_production","crates\perl-workspace\src\workspace\workspace_index.rs","2870","26","classification_only",".map_err(|_| format!('Invalid URI or file path: {}', uri))?","exact_exception","identity-retained","no","P1","uri echoed into String error"
"perl-workspace","lib_or_bin_production","crates\perl-workspace\src\workspace\workspace_index.rs","2876","30","classification_only",".map_err(|_| format!('Invalid URI or file path: {}', uri))","exact_exception","identity-retained","no","P1","uri echoed into String error"
"perl-workspace","lib_or_bin_production","crates\perl-workspace\src\workspace\workspace_index.rs","2888","26","classification_only",".map_err(|_| format!('Invalid URI or file path: {}', uri))?","exact_exception","identity-retained","no","P1","uri echoed into String error"
"perl-workspace","lib_or_bin_production","crates\perl-workspace\src\workspace\workspace_index.rs","2892","30","classification_only",".map_err(|_| format!('Invalid URI or file path: {}', uri))","exact_exception","identity-retained","no","P1","uri echoed into String error"
"xtask","integration_test","xtask\src\..\tests\support\emacs_host_runner.rs","758","18","classification_only",".map_err(|_| anyhow::anyhow!('{label} reader thread panicked'))?","exact_exception","fact-of-panic-only","internal-thread","T1","reader-thread panic class"
"xtask","integration_test","xtask\src\..\tests\support\vim_host_runner.rs","1311","18","classification_only",".map_err(|_| anyhow::anyhow!('{label} reader thread panicked'))?","exact_exception","fact-of-panic-only","internal-thread","T1","reader-thread panic class"
"xtask","lib_or_bin_production","xtask\src\tasks\ci_contract.rs","470","27","classification_only","handle.join().map_err(|_| io::Error::other(format!('{stream} reader panicked')))?","exact_exception","fact-of-panic-only","internal-thread","T1","reader-thread panic class"
"xtask","lib_or_bin_production","xtask\src\tasks\command_evidence.rs","534","18","classification_only",".map_err(|_| color_eyre::eyre::eyre!('{name} reader panicked'))?","exact_exception","fact-of-panic-only","internal-thread","T1","reader-thread panic class"
"xtask","lib_or_bin_production","xtask\src\tasks\incremental_proof.rs","392","44","classification_only","let line = u32::try_from(line).map_err(|_| eyre!('line number exceeds u32'))?;","exact_exception","static-cause","no","T1","eyre states overflow semantics; TryFromIntError payload-free"
"xtask","lib_or_bin_production","xtask\src\tasks\incremental_proof.rs","399","48","classification_only","let column = u32::try_from(column).map_err(|_| eyre!('column exceeds u32'))?;","exact_exception","static-cause","no","T1","same"
"xtask","lib_or_bin_production","xtask\src\tasks\parser_matrix.rs","337","18","classification_only",".map_err(|_| eyre!('failed to parse baseline value as integer: {baseline_text}'))","exact_exception","raw-input-retained","no","T1","baseline_text echoed"
"xtask","lib_or_bin_production","xtask\src\tasks\policy_cadence.rs","348","18","classification_only",".map_err(|_| eyre!('{field} must be a real YYYY-MM-DD date: {raw}'))","exact_exception","raw-input-retained","no","T1","field name and raw value echoed"
"perl-ast","src_cfg_test","crates\perl-ast\src\ast.rs","4414","31","classification_only","handle.join().map_err(|_| 'small-stack worker aborted (likely stack overflow)'.to_string()","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-ast","src_cfg_test","crates\perl-ast\src\ast.rs","5134","38","classification_only","first.join().map_err(|_| 'first clone thread aborted'.to_string())?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-ast","src_cfg_test","crates\perl-ast\src\ast.rs","5136","39","classification_only","second.join().map_err(|_| 'second clone thread aborted'.to_string())?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","532","22","retain_cause",".map_err(|_| 'template references $x, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","548","22","retain_cause",".map_err(|_| 'template references $x, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","602","22","retain_cause",".map_err(|_| 'template references $x, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","617","22","retain_cause",".map_err(|_| 'template references $x, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","633","22","retain_cause",".map_err(|_| 'template references $x, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","655","22","retain_cause",".map_err(|_| 'template references scalars, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","680","22","retain_cause",".map_err(|_| 'template references $x, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","704","22","retain_cause",".map_err(|_| 'template references $x, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","720","22","retain_cause",".map_err(|_| 'template references scalars, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","736","22","retain_cause",".map_err(|_| 'template references $x, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","746","22","retain_cause",".map_err(|_| 'template references $x, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\logpoint.rs","764","22","retain_cause",".map_err(|_| 'template references scalars, so a capture is expected')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\parsing.rs","438","33","classification_only","producer.join().map_err(|_| 'producer thread panicked')?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","2408","56","classification_only","let mut guard = adapter.session.lock().map_err(|_| 'session lock poisoned'.to_string())?;","exact_exception","poison-class-only","no","T2","lock-poison class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","2441","56","classification_only","let mut guard = adapter.session.lock().map_err(|_| 'session lock poisoned'.to_string())?;","exact_exception","poison-class-only","no","T2","lock-poison class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","2462","56","classification_only","let mut guard = adapter.session.lock().map_err(|_| 'session lock poisoned'.to_string())?;","exact_exception","poison-class-only","no","T2","lock-poison class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","2489","56","classification_only","let mut guard = adapter.session.lock().map_err(|_| 'session lock poisoned'.to_string())?;","exact_exception","poison-class-only","no","T2","lock-poison class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","2529","42","classification_only","let first = first.join().map_err(|_| 'termination worker panicked'.to_string())?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","2610","26","retain_cause",".map_err(|_| 'termination state lock poisoned'.to_string())?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","2668","22","retain_cause",".map_err(|_| 'attached PID lock was poisoned after stale cleanup'.to_string())?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","2685","22","retain_cause",".map_err(|_| 'attached PID lock was poisoned after current cleanup'.to_string())?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","2707","69","classification_only","adapter.attached_pid.lock().map(|guard| *guard).map_err(|_| {","exact_exception","poison-class-only","no","T2","lock-poison class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","3214","22","retain_cause",".map_err(|_| 'session lock poisoned'.to_string())?","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","3267","22","retain_cause",".map_err(|_| 'failed to prefill the outbound queue'.to_string())?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\process.rs","3296","26","retain_cause",".map_err(|_| 'session lock poisoned'.to_string())?","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\sync_utils.rs","280","44","classification_only","let result = handle.join().map_err(|_| 'dispatch thread panicked'.to_string())?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\sync_utils.rs","439","35","classification_only","handle.join().map_err(|_| format!('trial {trial}: flood thread panicked'))?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\sync_utils.rs","442","40","classification_only","life_handle.join().map_err(|_| format!('trial {trial}: lifecycle thread panicked'))?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\sync_utils.rs","498","44","classification_only","let result = handle.join().map_err(|_| 'dispatch thread panicked'.to_string())?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\sync_utils.rs","559","35","classification_only","handle.join().map_err(|_| 'producer thread panicked'.to_string())?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\transport.rs","394","43","classification_only","self.bytes.lock().map_err(|_| io::Error::other('writer buffer mutex poisoned'))?;","exact_exception","poison-class-only","no","T2","lock-poison class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\transport.rs","546","22","classification_only",".map_err(|_| 'producer thread panicked'.to_string())?","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\transport.rs","548","33","classification_only","consumer.join().map_err(|_| 'consumer thread panicked'.to_string())?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\debug_adapter\transport.rs","600","44","classification_only","let bytes = written.lock().map_err(|_| 'writer buffer mutex poisoned')?;","exact_exception","poison-class-only","no","T2","lock-poison class in test context"
"perl-dap","src_cfg_test","crates\perl-dap\src\reload\subject.rs","299","59","retain_cause","let subject = complete_candidate().bind().map_err(|_| 'complete candidate must bind')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\reload\subject.rs","346","59","retain_cause","let subject = complete_candidate().bind().map_err(|_| 'complete candidate must bind')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\reload\transaction.rs","558","48","retain_cause","let subject = candidate.bind().map_err(|_| 'candidate must bind')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\reload\transaction.rs","578","64","retain_cause","let plan = plan_reload(&subject, &observation).map_err(|_| 'earned cohort must admit')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","src_cfg_test","crates\perl-dap\src\reload\transaction.rs","598","54","retain_cause","let xs_subject = xs_candidate.bind().map_err(|_| 'xs candidate must bind')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
"perl-dap","integration_test","crates\perl-dap\tests\dap_attach_e2e.rs","156","18","classification_only",".map_err(|_| std::io::Error::other('fake TCP debugger server panicked'))?","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","integration_test","crates\perl-dap\tests\dap_attach_e2e.rs","233","18","classification_only",".map_err(|_| std::io::Error::other('fake TCP debugger server panicked'))?","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","integration_test","crates\perl-dap\tests\dap_performance_tests.rs","334","35","classification_only","handle.join().map_err(|_| anyhow::anyhow!('worker thread panicked'))?;","exact_exception","fact-of-panic-only","internal-thread","T2","thread-join class in test context"
"perl-dap","integration_test","crates\perl-dap\tests\dap_protocol_compliance_tests.rs","475","18","retain_cause",".map_err(|_| 'initialized event should be emitted')?;","repair_in_tests_tranche","setup-cause-currently-lost","no","T2","cfg(test)/tests setup conversion discards real cause; repair when tranche opens"
